"date","close","open","high","low","volume","변동 %"
"2021-12-20","3,944.49","3,923.62","3,978.42","3,757.35","366.91K","0.48%"
"2021-12-19","3,925.80","3,959.00","4,024.80","3,890.82","306.00K","-0.86%"
"2021-12-18","3,959.77","3,881.81","3,992.51","3,770.62","339.77K","2.10%"
"2021-12-17","3,878.43","3,959.05","3,994.00","3,702.29","463.29K","-1.97%"
"2021-12-16","3,956.35","4,023.92","4,107.85","3,955.35","368.81K","-1.56%"
"2021-12-15","4,018.94","3,859.06","4,089.65","3,648.77","542.03K","4.11%"
"2021-12-14","3,860.41","3,783.53","3,879.48","3,690.04","395.14K","2.12%"
"2021-12-13","3,780.13","4,126.81","4,140.73","3,672.30","533.47K","-8.51%"
"2021-12-12","4,131.84","4,089.38","4,173.15","3,988.22","260.68K","1.39%"
"2021-12-11","4,075.23","3,896.72","4,094.73","3,837.15","427.79K","4.40%"
"2021-12-10","3,903.58","4,107.70","4,227.84","3,894.26","563.20K","-4.97%"
"2021-12-09","4,107.82","4,437.94","4,482.76","4,077.94","462.01K","-7.38%"
"2021-12-08","4,435.24","4,308.26","4,449.85","4,229.16","429.38K","2.97%"
"2021-12-07","4,307.11","4,350.79","4,424.22","4,259.06","420.89K","-1.05%"
"2021-12-06","4,352.66","4,197.06","4,374.22","3,922.04","726.73K","3.77%"
"2021-12-05","4,194.60","4,123.56","4,247.57","4,035.80","536.33K","1.86%"
"2021-12-04","4,118.06","4,213.57","4,237.33","3,561.06","1.11M","-2.36%"
"2021-12-03","4,217.78","4,512.71","4,646.83","4,045.17","677.86K","-6.54%"
"2021-12-02","4,512.71","4,583.02","4,630.11","4,437.49","451.88K","-1.53%"
"2021-12-01","4,582.96","4,630.52","4,778.00","4,524.92","508.22K","-1.04%"
"2021-11-30","4,631.22","4,442.62","4,748.00","4,348.96","742.65K","4.24%"
"2021-11-29","4,442.82","4,300.00","4,457.00","4,279.54","406.97K","3.38%"
"2021-11-28","4,297.52","4,094.97","4,297.52","3,980.00","346.50K","4.98%"
"2021-11-27","4,093.56","4,041.65","4,182.66","4,028.52","275.44K","1.47%"
"2021-11-26","4,034.41","4,525.51","4,547.70","3,916.62","720.21K","-10.74%"
