"date","close","open","high","low","volume","변동 %"
"2022-08-23","1,665.40","1,624.28","1,673.32","1,564.31","940.25K","2.37%"
"2022-08-22","1,626.83","1,617.45","1,627.12","1,531.89","940.86K","0.53%"
"2022-08-21","1,618.23","1,576.03","1,644.87","1,563.92","780.66K","2.71%"
"2022-08-20","1,575.58","1,609.01","1,654.81","1,525.49","915.14K","-2.11%"
"2022-08-19","1,609.52","1,846.19","1,846.91","1,607.66","1.42M","-12.84%"
"2022-08-18","1,846.56","1,834.25","1,880.27","1,822.06","605.82K","0.67%"
"2022-08-17","1,834.25","1,877.71","1,956.78","1,821.01","951.83K","-2.26%"
"2022-08-16","1,876.68","1,898.49","1,914.06","1,856.40","622.79K","-1.24%"
"2022-08-15","1,900.25","1,936.25","2,012.06","1,873.46","949.19K","-1.80%"
"2022-08-14","1,935.03","1,983.08","2,028.43","1,909.47","569.54K","-2.45%"
"2022-08-13","1,983.54","1,957.75","2,019.01","1,946.62","695.89K","1.33%"
"2022-08-12","1,957.55","1,880.66","1,961.46","1,856.91","717.57K","4.11%"
"2022-08-11","1,880.29","1,852.61","1,930.68","1,850.70","1.11M","1.45%"
"2022-08-10","1,853.42","1,702.45","1,881.18","1,657.55","1.32M","8.85%"
"2022-08-09","1,702.80","1,777.56","1,789.61","1,668.56","818.27K","-4.25%"
"2022-08-08","1,778.35","1,699.74","1,813.17","1,694.81","781.51K","4.59%"
"2022-08-07","1,700.27","1,690.64","1,728.97","1,669.40","440.09K","0.57%"
"2022-08-06","1,690.56","1,735.36","1,749.44","1,687.95","523.51K","-2.72%"
"2022-08-05","1,737.91","1,608.25","1,740.29","1,605.76","1.01M","8.15%"
"2022-08-04","1,606.94","1,616.55","1,661.11","1,581.34","735.60K","-0.69%"
"2022-08-03","1,618.04","1,630.76","1,682.28","1,591.57","777.72K","-0.82%"
"2022-08-02","1,631.44","1,631.57","1,675.49","1,559.54","1.08M","0.08%"
"2022-08-01","1,630.15","1,676.56","1,702.56","1,607.39","801.65K","-2.97%"
"2022-07-31","1,680.07","1,697.31","1,753.41","1,667.34","695.92K","-0.93%"
"2022-07-30","1,695.79","1,724.17","1,741.21","1,674.38","735.78K","-1.45%"
"2022-07-29","1,720.74","1,724.62","1,764.69","1,658.16","1.21M","-0.31%"
"2022-07-28","1,726.11","1,636.11","1,781.37","1,597.44","1.58M","5.51%"
"2022-07-27","1,635.98","1,449.63","1,643.90","1,421.13","1.51M","12.76%"
"2022-07-26","1,450.91","1,439.11","1,451.37","1,357.70","1.20M","0.85%"
"2022-07-25","1,438.62","1,598.44","1,608.07","1,438.51","1.42M","-9.99%"
"2022-07-24","1,598.22","1,548.90","1,659.76","1,547.82","1.01M","3.14%"
"2022-07-23","1,549.56","1,535.01","1,596.01","1,490.17","851.32K","0.96%"
"2022-07-22","1,534.78","1,575.38","1,645.01","1,520.41","1.17M","-2.60%"
"2022-07-21","1,575.74","1,520.44","1,599.48","1,466.17","1.25M","3.64%"
"2022-07-20","1,520.44","1,542.29","1,618.14","1,488.54","1.35M","-1.50%"
"2022-07-19","1,543.67","1,583.31","1,619.81","1,494.75","1.85M","-2.59%"
"2022-07-18","1,584.77","1,339.09","1,590.80","1,336.74","2.03M","18.46%"
"2022-07-17","1,337.84","1,355.83","1,385.32","1,323.20","1.25M","-1.34%"
"2022-07-16","1,355.97","1,231.15","1,399.56","1,192.09","1.49M","10.16%"
"2022-07-15","1,230.92","1,192.83","1,284.94","1,182.19","1.47M","3.20%"
"2022-07-14","1,192.78","1,114.20","1,209.98","1,072.42","1.61M","6.89%"
"2022-07-13","1,115.93","1,039.72","1,116.24","1,012.57","2.04M","7.44%"
"2022-07-12","1,038.63","1,095.73","1,097.76","1,036.00","1.26M","-5.27%"
"2022-07-11","1,096.45","1,168.06","1,170.64","1,093.40","1.20M","-6.07%"
"2022-07-10","1,167.35","1,217.12","1,219.23","1,155.40","1.02M","-4.07%"
"2022-07-09","1,216.93","1,214.91","1,232.61","1,205.30","577.18K","0.03%"
"2022-07-08","1,216.52","1,239.60","1,275.99","1,194.15","1.19M","-1.75%"
"2022-07-07","1,238.19","1,186.57","1,252.76","1,163.93","1.00M","4.36%"
"2022-07-06","1,186.48","1,133.22","1,201.78","1,112.09","1.21M","4.63%"
"2022-07-05","1,134.03","1,149.84","1,170.80","1,079.38","1.40M","-1.50%"
"2022-07-04","1,151.27","1,073.62","1,159.96","1,046.02","1.15M","7.19%"
"2022-07-03","1,074.06","1,067.52","1,086.86","1,041.71","644.78K","0.70%"
"2022-07-02","1,066.62","1,059.82","1,077.50","1,029.11","714.86K","0.73%"
"2022-07-01","1,058.91","1,071.20","1,109.73","1,035.88","1.56M","-0.91%"
